page,screenshot_number_on_page,caption,filename,relative_path,width_px,height_px,description,visible_section,related_tasks,keywords,notes
4,,Landing Page,p04_01_landing_page.png,screenshots/p04_01_landing_page.png,,,Landing Page,,,,
5,,Login,p05_01_login.png,screenshots/p05_01_login.png,,,Login,,,,
6,,Work Bench - Timeline View,p06_01_work_bench_timeline_view.png,screenshots/p06_01_work_bench_timeline_view.png,,,Work Bench - Timeline View,,use work bench timeline | group timeline | filter timeline | ending soon | overdue timeline | drag return date | timeline conflict,work bench | timeline | group by | closest dates first | ending <72h | overdue | ending soon | drag handle | conflict modal | KPI cards,"Use for Timeline planning, grouping, ending-soon/overdue, KPI, and timeline-reschedule questions."
7,,Work Bench - Stages View,p07_01_work_bench_stages_view.png,screenshots/p07_01_work_bench_stages_view.png,,,Work Bench - Stages View,,use work bench stages | explain stage columns | find order by stage | why stage empty,work bench | stages | request | quote | reservation | order | received | closed | status filters,Use for order-level workflow stage questions.
8,,Work Bench - Pick/Return View,p08_01_work_bench_pick_return_view.png,screenshots/p08_01_work_bench_pick_return_view.png,,,Work Bench - Pick/Return View,,use pick return | dispatch checklist | equipment out | equipment back | explain TBD in pick return,work bench | pick return | equipment out | equipment back | delivery address | TBD | pickup instructions | dropoff,Use for pickup/return movement checklist questions.
9,,Dashboard - Map View,p09_01_dashboard_map_view.png,screenshots/p09_01_dashboard_map_view.png,,,Dashboard - Map View,,use map view | explain missing map marker | explain units vs locations map | map marker colors,map | units | locations | current location | base location | coordinates | marker | google maps | leaflet | street | satellite,"Use for map visibility, marker, and current/base location questions."
10,,Dashboard - Availability and Utilization View,p10_01_dashboard_availability_and_utilization_view.png,screenshots/p10_01_dashboard_availability_and_utilization_view.png,,,Dashboard - Availability and Utilization View,,use dashboard availability | explain availability math | explain demand trend | explain donut colors | explain upcoming demand | update incidents,dashboard | availability | utilization | demand | donut | trend | committed | potential | purchase orders | shortfall | incidents | alerts | breaches,"Use for availability, utilization, demand, donut, incident, and upcoming-demand questions."
11,,Quotes Table,p11_01_quotes_table.png,screenshots/p11_01_quotes_table.png,,,Quotes Table - list view of quotes with search/filter controls and New Quote action.,,find quote | create quote | reserve quote | reject quote | convert quote,quote | new quote | reserve | reject | converted | status,
12,,Rental Order Table,p12_01_rental_order_table.png,screenshots/p12_01_rental_order_table.png,,,Rental Order Table - list view of rental orders. Best for finding an order or starting a new rental order using the New RO button.,,find rental order | create rental order | open rental order | filter rental orders,rental order | new ro | status | requested | reservation | ordered | received | closed | search,
13,,Rental Order / Quote Detail Page (1),p13_01_rental_order_quote_detail_page_1.png,screenshots/p13_01_rental_order_quote_detail_page_1.png,,,"Rental Order / Quote Detail Page (1) - first/top screenshot of the rental order detail page. Best for header-level fields such as customer selection, RO/quote header fields, status, terms, and top navigation.",first/top section,,,
14,,Rental Order / Quote Detail Page (2),p14_01_rental_order_quote_detail_page_2.png,screenshots/p14_01_rental_order_quote_detail_page_2.png,,,Rental Order / Quote Detail Page (2) - second/middle screenshot of the rental order detail page. Best for line items and mid-page order-entry actions. Use this screenshot when the user asks about adding or editing line items.,second/middle section,add line item | edit line item | add equipment to rental order | set booked dates | add pricing period | add rate | assign unit | troubleshoot unit availability,line item | equipment type | booked dates | start | end | period | rate | unit | unit locked | actual dates | availability | bundle | rerent,Preferred screenshot for rental order/quote line items and unit selection issues.
14,,Rental Order / Quote Detail Page (3),p14_02_rental_order_quote_detail_page_3.png,screenshots/p14_02_rental_order_quote_detail_page_3.png,,,"Rental Order / Quote Detail Page (3) - third/lower screenshot of the rental order detail page. Best for lower-page sections such as documents, history, recurring/monthly charges, and other bottom-page details.",third/lower section,review monthly charges | explain monthly recurring calculation | troubleshoot monthly charges,monthly charges | recurring | proration | daily | weekly | monthly | billing settings,
